no,teamA, teamB, scoreA, scoreB,
1,England  7s, South Africa 7s, 12, 13, 
2,Ireland  7s, Australia 7s, 19, 21, 
3,Scotland  7s, France 7s, 7, 26, 
4,USA  7s, South Africa 7s, 7, 19, 
5,Argentina  7s, Ireland 7s, 19, 5, 
6,New Zealand  7s, Scotland 7s, 33, 7, 
7,Samoa  7s, United Arab Emirates 7s, 54, 12, 
8,Russia  7s, Japan 7s, , , 
9,Kenya  7s, Canada 7s, 12, 21, 
10,Fiji  7s, Russia 7s, 54, 0, 
11,Samoa  7s, Scotland 7s, , , 
12,England  7s, Papua New Guinea 7s, 22, 7, 
13,England  7s, Kenya 7s, 21, 26, 
14,Canada  7s, Scotland 7s, 19, 26, 
15,South Africa  7s, France 7s, 36, 7, 
16,Japan  7s, Ireland 7s, 0, 33, 
17,Fiji  7s, Wales 7s, 12, 5, 
18,USA  7s, China 7s, 7, 17, 
19,South Africa  7s, New Zealand 7s, 33, 26, 
20,Fiji  7s, Australia 7s, 34, 7, 
21,New Zealand  7s, Tunisia 7s, 47, 0, 
22,Fiji  7s, USA 7s, 19, 24, 
23,Australia  7s, France 7s, 17, 21, 
24,Argentina  7s, Tonga 7s, 12, 14, 
25,Fiji  7s, Samoa 7s, 22, 12, 
26,Argentina  7s, France 7s, 10, 7, 
27,Wales  7s, Uruguay 7s, 28, 7, 
28,France  7s, Kenya 7s, 27, 5, 
29,Fiji  7s, Russia 7s, 24, 5, 
30,Australia  7s, Wales 7s, 14, 12, 
31,South Africa  7s, Japan 7s, 35, 5, 
32,Fiji  7s, South Africa 7s, 21, 19, 
33,Russia  7s, Canada 7s, 17, 22, 
34,South Africa  7s, France 7s, 5, 31, 
35,England  7s, France 7s, 14, 24, 
36,South Africa  7s, Australia 7s, 19, 12, 
37,Australia  7s, Mexico 7s, 53, 0, 
38,Australia  7s, Spain 7s, 45, 0, 
39,Tonga  7s, Papua New Guinea 7s, 19, 12, 
40,England  7s, New Zealand 7s, 5, 12, 
41,Fiji  7s, Samoa 7s, 5, 12, 
42,England  7s, Kenya 7s, 24, 7, 
43,Fiji  7s, France 7s, 31, 7, 
44,South Africa  7s, Spain 7s, 33, 0, 
45,USA  7s, Spain 7s, 22, 0, 
46,Argentina  7s, Russia 7s, 33, 5, 
47,South Africa  7s, England 7s, 12, 17, 
48,Kenya  7s, Russia 7s, 0, 22, 
49,Russia  7s, Spain 7s, 24, 5, 
50,England  7s, Kenya 7s, 12, 12, 
51,Scotland  7s, Russia 7s, 24, 5, 
52,Fiji  7s, Canada 7s, 60, 0, 
53,China  7s, Fiji 7s, 15, 10, 
54,Scotland  7s, Guyana 7s, 31, 7, 
55,Samoa  7s, France 7s, 12, 35, 
56,Fiji  7s, Canada 7s, 26, 19, 
57,Argentina  7s, Portugal 7s, 19, 12, 
58,Winner M27 Winner M28, , , 
59,New Zealand  7s, Australia 7s, 17, 5, 
60,Australia  7s, Canada 7s, 7, 12, 
61,Canada  7s, France 7s, 12, 19, 
62,Russia  7s, South Africa 7s, 19, 14, 
63,New Zealand  7s, China 7s, 50, 0, 
64,New Zealand  7s, Kenya 7s, 38, 0, 
65,New Zealand  7s, Guyana 7s, 49, 0, 
66,New Zealand  7s, Russia 7s, 24, 10, 
67,New Zealand  7s, Argentina 7s, 26, 19, 
68,France  7s, Papua New Guinea 7s, 17, 0, 
69,Australia  7s, Spain 7s, 31, 7, 
70,Kenya  7s, Tonga 7s, 24, 7, 
71,France  7s, Kenya 7s, 19, 21, 
72,Fiji  7s, Samoa 7s, 45, 5, 
73,New Zealand  7s, Scotland 7s, 42, 0, 
74,Scotland  7s, France 7s, 31, 12, 
75,New Zealand  7s, France 7s, 24, 5, 
76,Winner M37 Winner M38, , , 
77,Netherlands  7s, South Africa 7s, 32, 0, 
78,England  7s, New Zealand 7s, 12, 5, 
79,Samoa  7s, Niue Island 7s, 40, 0, 
80,New Zealand  7s, Wales 7s, 36, 14, 
81,Samoa  7s, Papua New Guinea 7s, 26, 0, 
82,Australia  7s, France 7s, 19, 7, 
83,Argentina  7s, Scotland 7s, 12, 5, 
84,Russia  7s, Spain 7s, 19, 14, 
85,Australia  7s, Brazil 7s, 24, 7, 
86,Fiji  7s, USA 7s, 14, 24, 
87,Australia  7s, Kenya 7s, 22, 17, 
88,Ireland  7s, Fiji 7s, 7, 36, 
89,South Africa  7s, New Zealand 7s, 5, 26, 
90,Australia  7s, Russia 7s, 22, 12, 
91,England  7s, South Africa 7s, 14, 29, 
92,Kenya  7s, Hong Kong 7s, 17, 0, 
93,Argentina  7s, USA 7s, 29, 12, 
94,Netherlands  7s, Tunisia 7s, 47, 0, 
95,Loser M21 Loser M22, , , 
96,Winner M21 Winner M22, , , 
97,Samoa  7s, Chile 7s, 29, 12, 
98,Samoa  7s, Australia 7s, 14, 45, 
99,1st Pool D 2nd Pool A, , , 
100,South Africa  7s, Kenya 7s, 45, 7, 
101,France  7s, England 7s, 0, 19, 
102,New Zealand  7s, Kenya 7s, 21, 7, 
103,Tunisia  7s, Fiji 7s, 0, 19, 
104,Fiji  7s, South Africa 7s, 29, 17, 
105,Zimbabwe  7s, United Arab Emirates 7s, 24, 14, 
106,USA  7s, England 7s, 10, 12, 
107,Japan  7s, Wales 7s, 19, 17, 
108,Fiji  7s, Japan 7s, 29, 5, 
109,Spain  7s, Mexico 7s, 46, 0, 
110,Kenya  7s, Argentina 7s, 7, 12, 
111,France  7s, Portugal 7s, , , 
112,Scotland  7s, Zimbabwe 7s, 17, 28, 
113,Samoa  7s, Canada 7s, 35, 14, 
114,Argentina  7s, Wales 7s, 15, 21, 
115,Scotland  7s, Japan 7s, 31, 14, 
116,New Zealand  7s, Argentina 7s, 28, 14, 
117,Portugal  7s, Australia 7s, 12, 17, 
118,New Zealand  7s, France 7s, , , 
119,South Africa  7s, Russia 7s, 34, 5, 
120,Argentina  7s, Samoa 7s, 14, 14, 
121,Spain  7s, Japan 7s, 24, 0, 
122,Portugal  7s, Zimbabwe 7s, 14, 12, 
123,England  7s, USA 7s, 19, 0, 
124,South Africa  7s, Kenya 7s, 17, 0, 
125,Samoa  7s, France 7s, 21, 10, 
126,Winner M35 Winner M36, , , 
127,Russia  7s, Fiji 7s, 7, 12, 
128,South Africa  7s, Kenya 7s, 21, 12, 
129,Australia  7s, France 7s, 38, 0, 
130,Australia  7s, Samoa 7s, 20, 21, 
131,France  7s, Ireland 7s, 15, 19, 
132,USA  7s, Samoa 7s, 24, 19, 
133,Argentina  7s, Portugal 7s, , , 
134,New Zealand  7s, South Africa 7s, 20, 7, 
135,Kenya  7s, Portugal 7s, 10, 7, 
136,Canada  7s, Russia 7s, 28, 15, 
137,Scotland  7s, France 7s, 28, 22, 
138,Canada  7s, Australia 7s, 5, 31, 
139,Kenya  7s, Scotland 7s, 17, 14, 
140,New Zealand  7s, USA 7s, 24, 12, 
141,Scotland  7s, Hong Kong 7s, 38, 0, 
142,Wales  7s, France 7s, 12, 29, 
143,Samoa  7s, Russia 7s, 19, 19, 
144,Samoa  7s, South Korea 7s, 31, 5, 
145,Scotland  7s, Brazil 7s, 33, 5, 
146,South Africa  7s, Samoa 7s, , , 
147,New Zealand  7s, Australia 7s, 26, 14, 
148,New Zealand  7s, USA 7s, 31, 7, 
149,England  7s, Japan 7s, 19, 7, 
150,South Africa  7s, Kenya 7s, 14, 7, 
151,Samoa  7s, China 7s, 38, 10, 
152,3rd Pool D 4th Pool A, , , 
153,New Zealand  7s, Russia 7s, 17, 5, 
154,Australia  7s, Scotland 7s, 41, 14, 
155,Kenya  7s, Zambia 7s, 33, 14, 
156,Scotland  7s, Kenya 7s, 28, 12, 
157,USA  7s, Wales 7s, 38, 14, 
158,Ireland  7s, Australia 7s, 15, 14, 
159,Argentina  7s, Wales 7s, 21, 5, 
160,Japan  7s, Samoa 7s, 14, 26, 
161,Spain  7s, Fiji 7s, 14, 31, 
162,Australia  7s, Tunisia 7s, 12, 21, 
163,3rd Pool A 4th Pool D, , , 
164,Australia  7s, Japan 7s, 28, 19, 
165,Canada  7s, USA 7s, 35, 7, 
166,Canada  7s, Thailand 7s, 19, 7, 
167,New Zealand  7s, Australia 7s, 29, 14, 
168,Argentina  7s, Canada 7s, 24, 19, 
169,USA  7s, Cook Islands 7s, 43, 26, 
170,New Zealand  7s, Kenya 7s, 24, 21, 
171,Kenya  7s, Wales 7s, 12, 17, 
172,Portugal  7s, Ireland 7s, 17, 29, 
173,Canada  7s, Spain 7s, 33, 7, 
174,Hong Kong  7s, Scotland 7s, 15, 26, 
175,Australia  7s, Kenya 7s, 21, 29, 
176,Samoa  7s, Canada 7s, 14, 7, 
177,England  7s, Australia 7s, 24, 12, 
178,USA  7s, Fiji 7s, 15, 0, 
179,3rd Best 3rd 3rd Best 4th, , , 
180,France  7s, Fiji 7s, 14, 21, 
181,Canada  7s, Russia 7s, 21, 17, 
182,Kenya  7s, Canada 7s, 21, 36, 
183,Australia  7s, Ireland 7s, 50, 0, 
184,Portugal  7s, France 7s, 17, 12, 
185,New Zealand  7s, Australia 7s, 12, 7, 
186,South Africa  7s, England 7s, 10, 7, 
187,Canada  7s, Argentina 7s, 14, 15, 
188,South Africa  7s, Argentina 7s, 42, 7, 
189,France  7s, Argentina 7s, 15, 17, 
190,Wales  7s, Japan 7s, 35, 0, 
191,Japan  7s, Argentina 7s, 7, 10, 
192,New Zealand  7s, Scotland 7s, 22, 21, 
193,Samoa  7s, Russia 7s, 26, 12, 
194,Russia  7s, USA 7s, 19, 10, 
195,Australia  7s, Fiji 7s, 26, 17, 
196,France  7s, Canada 7s, , , 
197,Russia  7s, Japan 7s, 24, 21, 
198,Russia  7s, Spain 7s, 5, 17, 
199,Brazil  7s, USA 7s, 0, 31, 
200,Kenya  7s, Chile 7s, 33, 7, 
201,Kenya  7s, Scotland 7s, 15, 10, 
202,USA  7s, Wales 7s, 40, 14, 
203,Scotland  7s, United Arab Emirates 7s, 43, 12, 
204,Australia  7s, Scotland 7s, 31, 12, 
205,USA  7s, Japan 7s, 14, 15, 
206,Canada  7s, China 7s, 47, 0, 
207,Argentina  7s, Fiji 7s, 21, 38, 
208,Canada  7s, Spain 7s, 22, 12, 
209,Tonga  7s, Kenya 7s, 38, 12, 
210,New Zealand  7s, China 7s, 45, 0, 
211,Kenya  7s, Zimbabwe 7s, 36, 14, 
212,Kenya  7s, Argentina 7s, 0, 43, 
213,Australia  7s, Russia 7s, 19, 12, 
214,Australia  7s, Canada 7s, 40, 7, 
215,England  7s, New Zealand 7s, 19, 14, 
216,England  7s, Scotland 7s, 21, 5, 
217,Japan  7s, Spain 7s, 26, 19, 
218,Samoa  7s, England 7s, 21, 29, 
219,Canada  7s, Hong Kong 7s, 34, 0, 
220,England  7s, China 7s, 24, 5, 
221,Australia  7s, Ireland 7s, 26, 22, 
222,Canada  7s, Argentina 7s, 17, 17, 
